"date","rt"
2020-02-25,0.125870017135078
2020-02-26,0.125870017135078
2020-02-27,0.125870017135078
2020-02-28,0.059151648433263
2020-02-29,0.0274343630836897
2020-03-01,0.033418824219417
2020-03-02,0.0493088723047993
2020-03-03,0.0509059322092573
2020-03-04,0.076027474163863
2020-03-05,0.0789663899515955
2020-03-06,0.0588308391982744
2020-03-07,0.0479415598894732
2020-03-08,0.0284458835214249
2020-03-09,0.032629674630063
2020-03-10,0.0728845260868817
2020-03-11,0.120108304454083
2020-03-12,0.609220276831264
2020-03-13,0.607832392014211
2020-03-14,0.0494678205934863
2020-03-15,0.0513477377292641
2020-03-16,0.0521306892133972
2020-03-17,0.0516621016047997
2020-03-18,0.0500608572182837
2020-03-19,0.0474232778490179
2020-03-20,0.043560540899676
2020-03-21,0.0772950742720393
2020-03-22,0.066691268283806
2020-03-23,0.113685799352891
2020-03-24,0.0966038456226642
2020-03-25,0.0205674095730242
2020-03-26,0.0353482217959148
2020-03-27,0.0308019488312315
2020-03-28,0.0273310386754585
2020-03-29,0.037155305995261
2020-03-30,0.0229962419720815
2020-03-31,0.021875562336879
2020-04-01,0.0212631416852624
2020-04-02,0.0315760496983251
2020-04-03,0.0317483352165692
2020-04-04,0.0647558115785639
2020-04-05,0.0780769098004819
2020-04-06,0.0232763396066711
2020-04-07,0.0487655629058158
2020-04-08,0.0762943393503254
2020-04-09,0.0914013243095592
2020-04-10,0.118063176621023
2020-04-11,0.0905218795935917
2020-04-12,0.162881281874062
2020-04-13,0.166203732209728
2020-04-14,0.153804736620614
2020-04-15,0.231018287807668
2020-04-16,0.221690304638817
2020-04-17,0.190707560848299
2020-04-18,0.150619929097039
2020-04-19,0.0999572942931964
2020-04-20,0.10258281718612
2020-04-21,0.135418905005655
2020-04-22,0.117196684018322
2020-04-23,0.0967914294525724
2020-04-24,0.0720070077823075
2020-04-25,0.108254413561149
2020-04-26,0.122968249440667
2020-04-27,0.0877575818136487
2020-04-28,0.10065305812121
2020-04-29,0.0462020790127049
2020-04-30,0.184428264893107
2020-05-01,0.208025339995309
2020-05-02,0.0662360575795431
2020-05-03,0.0732959399254875
2020-05-04,0.0405537438437933
2020-05-05,0.0451467717895566
2020-05-06,0.050766729663886
2020-05-07,0.115467031577054
2020-05-08,0.132722040208178
2020-05-09,0.924055864685192
2020-05-10,1.51676300373606
2020-05-11,0.601630321788828
2020-05-12,0.747898098510693
2020-05-13,1.08223086180991
2020-05-14,0.84949689824551
2020-05-15,0.722403016464018
2020-05-16,0.703321996443327
2020-05-17,0.784506772896647
2020-05-18,0.574383483858873
2020-05-19,0.653842650628167
2020-05-20,0.547890725514505
2020-05-21,0.359737169441605
2020-05-22,0.269144482181675
2020-05-23,0.182096200299054
